id,"Suit Obsession/Color","Graphics","Scrawls","Phase","Obsession","Specialty","Vibes","Location","Headgear Accessory","Accessory","Totem","Creature/Plant","Suit","Sanity","Headgear","Looks Rare","Ambition","Bane","Mood","Desire","Graphic","Suit Style/Color","Suit Accessory","Backpack","Style"
1012,"Solid","Union of Merchants","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Vayon Worksuit","None","Soup Gagers","Pistols","None","None","None","None","None","None","Disc Regulator","Bobpack","None"
1013,"Rust","Gael","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Platemail","None","The Channelrat","Pistols","None","None","None","None","None","None","None","Squirrel Pack","None"
1014,"Solid","Roving Terror","None","Phase 1","None","None","None","Scablands","None","Bolt Harp","None","None","Vayon Worksuit","None","Sock x Charybdis","Gastrotech","None","None","None","None","None","None","Utility Vest","Caddypack","None"
1015,"Solid","Mol Bon Tunnel","None","Phase 1","None","None","None","Scablands","None","Hull Breacher","None","None","Smocker","None","Dohead (Pejorative)","Tribal","None","None","None","None","None","None","Encased Regulator","Bobpack","None"
1016,"Solid","Mol Bon Tunnel","Yes","Phase 1","None","None","None","Scablands","None","The (Fat) Koltso","None","None","Vayon Worksuit","None","Baghead","None","None","None","None","None","None","None","None","Bobpack","None"
1017,"Solid","Survivalist Guild","None","Phase 1","None","None","None","Scablands","None","Steady Hammer","None","None","Gutter Shirt","None","Rustler's Braincage","None","None","None","None","None","None","None","Heavy Duty Regulator","The Sink","None"
1018,"Solid","Venonauts","Yes","Phase 1","None","None","None","Scablands","None","The (Fat) Koltso","None","None","Vayon Worksuit","None","Baghead x Bincal","Gastrotech","None","None","None","None","None","None","Utility Vest","Bobpack","None"
1019,"Solid","Roving Terror","None","Phase 1","None","None","None","Scablands","None","Thruster","None","None","Pitchfork Prongshell","None","Gloamwight","Percussive","None","None","None","None","None","None","None","None","None"
0102,"Solid","Margul","None","Phase 1","None","None","None","Scablands","None","Cove Carver","None","None","Smocker","None","Darksight","Tribal","None","None","None","None","None","None","None","None","None"
1020,"Solid","Mol Bon Tunnel","None","Phase 1","None","None","None","Scablands","None","Bolt Harp","None","None","Smocker","None","Dohead (Pejorative)","Tribal","None","None","None","None","None","None","Encased Regulator","Bobpack","None"
1021,"Solid","Slash Patcher","None","Phase 1","None","None","None","Scablands","None","The Spunker","None","None","Kreegal Cloak","None","Clincher x Bincal","Gastrotech","None","None","None","None","None","None","Disc Regulator","Squirrel Pack","None"
1022,"Solid","Dark Ether House","None","Phase 1","None","None","None","Scablands","None","Bolt Harp","None","None","Gutter Shirt","None","Sock","None","None","None","None","None","None","None","Encased Regulator","Bobpack","None"
1023,"Cap Flag","Mol Bon Tunnel","None","Phase 1","None","None","None","Scablands","None","The Shriek","None","None","Smocker","None","Darksight","Tribal","None","None","None","None","None","None","Heavy Duty Regulator","Squirrel Pack","None"
1024,"Rust","Beshtala Expatriation Roster","None","Phase 1","None","None","None","Scablands","None","Cream Steamer","None","None","Platemail","None","Sock x Charybdis","Gastrotech","None","None","None","None","None","None","Amplifier","Bobpack","None"
1025,"Solid","Beshtala-Chanko","None","Phase 1","None","None","None","Scablands","None","Round Foot","None","None","Kreegal Cloak","None","Korkhead","None","None","None","None","None","None","None","Encased Regulator","Caddypack","None"
1026,"Solid","Mercenary","Yes","Phase 1","None","None","None","Scablands","None","The (Fat) Koltso","None","None","Gutter Shirt","None","Sock","None","None","None","None","None","None","None","Heavy Duty Regulator","Bobpack","None"
1027,"Solid","Engineers Guild","None","Phase 1","None","None","None","Scablands","None","Faulk's Icepick","None","None","Gutter Shirt","None","Backstab Squeezebox","None","None","None","None","None","None","None","Heavy Duty Regulator","Bobpack","None"
1028,"Cap Flag","Subsurface Miners Guild","None","Phase 1","None","None","None","Scablands","None","Thruster","None","None","Smocker","None","Rustler's Braincage","None","None","None","None","None","None","None","Encased Regulator","The Sink","None"
1029,"Solid","House of Ourbous","None","Phase 1","None","None","None","Scablands","None","Bolt Harp","None","None","Pitchfork Prongshell","None","Backstab Squeezebox","None","None","None","None","None","None","None","None","None","None"
0103,"Cap Flag","Freebooters Flag","Yes","Phase 1","None","None","None","Scablands","None","The (Fat) Koltso","None","None","Smocker","None","Korkhead","None","None","None","None","None","None","None","Encased Regulator","Caddypack","None"
1030,"Solid","Wings","None","Phase 1","None","None","None","Scablands","None","Trunker","None","None","Vayon Worksuit","None","Rustler's Braincage","None","None","None","None","None","None","None","None","Bobpack","None"
1031,"Solid","Cathedral","None","Phase 1","None","None","None","Scablands","None","The Slipper","None","None","Vayon Worksuit","None","Baghead x Bincal","Gastrotech","None","None","None","None","None","None","Encased Regulator","Squirrel Pack","None"
1032,"Solid","Engineers Guild","None","Phase 1","None","None","None","Scablands","None","Trunker","None","None","Smocker","None","Korkhead","None","None","None","None","None","None","None","Amplifier","Bobpack","None"
1033,"Solid","The Path","None","Phase 1","None","None","None","Scablands","None","Steady Hammer","None","None","Gutter Shirt","None","Baghead x Bincal","Gastrotech","None","None","None","None","None","None","Heavy Duty Regulator","Squirrel Pack","None"
1034,"Solid","Machinist Social Club","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Smocker","None","Good King Maude","Pistols","None","None","None","None","None","None","Amplifier","The Sink","None"
1035,"Solid","Machinist Social Club","None","Phase 1","None","None","None","Scablands","None","Hull Breacher","None","None","Prongshell","None","Boxhead","None","None","None","None","None","None","None","None","None","None"
1036,"Solid","Survivalist Guild","Yes","Phase 1","None","None","None","Scablands","None","The (Fat) Koltso","None","None","Vayon Worksuit","None","Baghead x Bincal","Gastrotech","None","None","None","None","None","None","Disc Regulator","Scrapper","None"
1037,"Solid","Mol Bon Tunnel","None","Phase 1","None","None","None","Scablands","None","Soapy","None","None","Vayon Worksuit","None","Astromask","Tribal","None","None","None","None","None","None","Utility Vest","The Sink","None"
1038,"Solid","Mercenary","None","Phase 1","None","None","None","The Blue","None","The Spunker","None","None","Kreegal Cloak","None","Soup Gagers","None","None","None","None","None","None","None","None","Bobpack","None"
1039,"Solid","Mol Bon Tunnel","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Fursuit","None","Darksight","Tribal","None","None","None","None","None","None","None","None","None"
0104,"Rust","Mol Bon Tunnel","None","Phase 1","None","None","None","Scablands","None","The Nozzle","None","Fane","Platemail","None","The Scaper","Pistols","None","None","None","None","None","None","None","Plant Buddy","None"
1040,"Cap Flag","Beshtala-Chanko","None","Phase 1","None","None","None","Scablands","None","Everdull Snippies","None","None","Smocker","None","Backstab Squeezebox","None","None","None","None","None","None","None","Heavy Duty Regulator","Caddypack","None"
1041,"Cap Flag","Mercenary","None","Phase 1","None","None","None","Scablands","None","Thruster","None","None","Smocker","None","Yawper","None","None","None","None","None","None","None","Encased Regulator","Caddypack","None"
1042,"Solid","Void Drifter","None","Phase 1","None","None","None","Scablands","None","Wedge","None","None","Kreegal Cloak","None","Astromask","Tribal","None","None","None","None","None","None","None","Bobpack","None"
1043,"Cap Flag","Survivalist Guild","None","Phase 1","None","None","None","Scablands","None","Faulk's Icepick","None","None","Smocker","None","Darksight","Tribal","None","None","None","None","None","None","Amplifier","Scrapper","None"
1044,"Solid","Ji","None","Phase 1","None","None","None","Scablands","None","Steady Hammer","None","None","Smocker","None","Boxhead","None","None","None","None","None","None","None","Encased Regulator","Bobpack","None"
1045,"Solid","Cog Crew","None","Phase 1","None","None","None","Scablands","None","Trunker","None","None","Gutter Shirt","None","Korkhead","None","None","None","None","None","None","None","None","None","None"
1046,"Solid","Beshtala Expatriation Roster","None","Phase 1","None","None","None","Scablands","None","Reef Sweeper","None","None","Gutter Shirt","None","Yawper","Melee","None","None","None","None","None","None","Encased Regulator","Bobpack","None"
1047,"Solid","Union of Merchants","None","Phase 1","None","None","None","Scablands","None","Faulk's Icepick","None","None","Gutter Shirt","None","The Channelrat","None","None","None","None","None","None","None","Heavy Duty Regulator","The Sink","None"
1048,"Solid","Subsurface Miners Guild","None","Phase 1","None","None","None","Scablands","None","Roulette","None","None","Grounder Pounder","None","Backstab Squeezebox","None","None","None","None","None","None","None","None","Bobpack","None"
1049,"Solid","Grid Gang","None","Phase 1","None","None","None","Scablands","None","The Spunker","None","None","Kreegal Cloak","None","Darksight","Tribal","None","None","None","None","None","None","Industrial Regulator","Bobpack","None"
0105,"Solid","Cove Stalkers","None","Phase 1","None","None","None","Scablands","None","Trunker","None","None","Kreegal Cloak","None","Yawper","None","None","None","None","None","None","None","Industrial Regulator","Bobpack","None"
1050,"Cap Flag","Cross of the Round Style","None","Phase 1","None","None","None","Scablands","None","The Nozzle","None","Fane","Smocker","None","Darksight","Tribal","None","None","None","None","None","None","Amplifier","Plant Buddy","None"
1051,"Solid","Mercenary","None","Phase 1","None","None","None","Scablands","None","The Spunker","None","None","Kreegal Cloak","None","Soup Gagers","None","None","None","None","None","None","None","Disc Regulator","The Sink","None"
1052,"Solid","Survivalist Guild","None","Phase 1","None","None","None","Scablands","None","Bolt Harp","None","None","Vayon Worksuit","None","Baghead x Bincal","Gastrotech","None","None","None","None","None","None","Disc Regulator","Caddypack","None"
1053,"Solid","Subsurface Miners Guild","None","Phase 1","None","None","None","Scablands","None","Hull Breacher","None","None","Gutter Shirt","None","Korkhead","Percussive","None","None","None","None","None","None","None","Scrapper","None"
1054,"Solid","The Borsch Conservatory of Gastrotechs","None","Phase 1","None","None","None","Scablands","None","Hull Breacher","None","None","Grounder Pounder","None","Charybdis","Gastrotech","None","None","None","None","None","None","None","None","None"
1055,"Solid","Void Drifter","None","Phase 1","None","None","None","Scablands","None","Hull Breacher","None","None","Gutter Shirt","None","Sock x Charybdis","Gastrotech","None","None","None","None","None","None","None","None","None"
1056,"Rust","The Path","None","Phase 1","None","None","None","The Blue","None","The Nozzle","None","None","Platemail","None","Good King Maude","Pistols","None","None","None","None","None","None","Industrial Regulator","Caddypack","None"
1057,"Solid","Survivalist Guild","None","Phase 1","None","None","None","Scablands","None","Thruster","None","None","Gutter Shirt","None","Rustler's Braincage","None","None","None","None","None","None","None","None","None","None"
1058,"Solid","Free Fringe","None","Phase 1","None","None","None","Scablands","None","The Spunker","None","None","Gutter Shirt","None","The Clincher","None","None","None","None","None","None","None","Encased Regulator","Squirrel Pack","None"
1059,"Rust","The Forsaken","None","Phase 1","None","None","None","Scablands","None","Bolt Harp","None","None","Platemail","None","Gloamwight","Percussive","None","None","None","None","None","None","None","Squirrel Pack","None"
0106,"Solid","Mol Bon Tunnel","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Vayon Worksuit","None","Baghead x Bincal","Gastrotech","None","None","None","None","None","None","None","Caddypack","None"
1060,"Cap Flag","Venonauts","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Smocker","None","The Saav","Gastrotech","None","None","None","None","None","None","Heavy Duty Regulator","Squirrel Pack","None"
1061,"Solid","Freebooters Flag","None","Phase 1","None","None","None","Scablands","None","Steady Hammer","None","None","Vayon Worksuit","None","Korkhead","None","None","None","None","None","None","None","Encased Regulator","Squirrel Pack","None"
1062,"Solid","No Damage","None","Phase 1","None","None","None","Scablands","None","Hull Breacher","None","None","Gutter Shirt","None","The Bald Beetle","Gastrotech","None","None","None","None","None","None","Encased Regulator","Squirrel Pack","None"
1063,"Solid","Void Drifter","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Gutter Shirt","None","Astromask","Tribal","None","None","None","None","None","None","Heavy Duty Regulator","Bobpack","None"
1064,"Solid","Hyperspec","None","Phase 1","None","None","None","Scablands","None","Thruster","None","None","Gutter Shirt","None","Backstab Squeezebox","None","None","None","None","None","None","None","Encased Regulator","Caddypack","None"
1065,"Cap Flag","Glass Womb","None","Phase 1","None","None","None","Scablands","None","Roulette","None","None","Smocker","None","Backstab Squeezebox","None","None","None","None","None","None","None","None","Bobpack","None"
1066,"Solid","Deepsatch","None","Phase 1","None","None","None","Scablands","None","Reef Sweeper","None","None","Kreegal Cloak","None","The Scaper","Melee","None","None","None","None","None","None","Encased Regulator","The Sink","None"
1067,"Solid","Mark Stay","None","Phase 1","None","None","None","Scablands","None","Hull Breacher","None","None","Kreegal Cloak","None","The Channelrat","None","None","None","None","None","None","None","None","The Sink","None"
1068,"Grasslands","Orbital Miners Guild","None","Phase 1","None","None","None","Scablands","None","The Shriek","None","None","Smocker","None","Good King Maude","None","None","None","None","None","None","None","None","None","None"
1069,"Solid","Machinist Social Club","None","Phase 1","None","None","None","Scablands","None","Hull Breacher","None","None","Gutter Shirt","None","Boxhead","None","None","None","None","None","None","None","Heavy Duty Regulator","Bobpack","None"
0107,"Solid","Freebooters Flag","None","Phase 1","None","None","None","Scablands","None","Soapy","None","None","Kreegal Cloak","None","Backstab Squeezebox","None","None","None","None","None","None","None","Disc Regulator","Bobpack","None"
1070,"Cap Flag","Cove Stalkers","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Smocker","None","Yawper","Pistols","None","None","None","None","None","None","Heavy Duty Regulator","The Sink","None"
1071,"Solid","Gael","None","Phase 1","None","None","None","Scablands","None","Roulette","None","None","Grounder Pounder","None","Yawper","None","None","None","None","None","None","None","None","None","None"
1072,"Solid","The Path","None","Phase 1","None","None","None","Scablands","Shutter Visor","The Shriek","None","None","Grounder Pounder","None","None","None","None","None","None","None","None","None","None","None","None"
1073,"Solid","Free Fringe","None","Phase 1","None","None","None","Scablands","None","Faulk's Icepick","None","None","Vayon Worksuit","None","Gloamwight","Percussive","None","None","None","None","None","None","Encased Regulator","Bobpack","None"
1074,"Solid","Survivalist Guild","None","Phase 1","None","None","None","Scablands","None","The Spunker","None","None","Kreegal Cloak","None","Dohead (Pejorative)","Tribal","None","None","None","None","None","None","Disc Regulator","The Sink","None"
1075,"Solid","The Borsch Conservatory of Gastrotechs","None","Phase 1","None","None","None","Scablands","Eye Patch","Candlestick","None","None","Gutter Shirt","None","Charybdis","Gastrotech","None","None","None","None","None","None","Heavy Duty Regulator","Caddypack","None"
1076,"Solid","The Path","None","Phase 1","None","None","None","Scablands","Utility Headphones","Cove Carver","None","None","Vayon Worksuit","None","None","Headphones","None","None","None","None","None","None","Heavy Duty Regulator","Bobpack","None"
1077,"Solid","Cathedral","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Vayon Worksuit","None","Baghead","Pistols","None","None","None","None","None","None","Heavy Duty Regulator","Bobpack","None"
1078,"Solid","Grid Gang","None","Phase 1","None","None","None","Scablands","None","Thruster","None","None","Kreegal Cloak","None","Deathshead","Percussive","None","None","None","None","None","None","Disc Regulator","Squirrel Pack","None"
1079,"Solid","Dark Ether House","None","Phase 1","None","None","None","Scablands","None","Thruster","None","None","Gutter Shirt","None","Yawper","None","None","None","None","None","None","None","Heavy Duty Regulator","Bobpack","None"
0108,"Solid","The Transcendentalists","None","Phase 1","None","None","None","Scablands","Shutter Visor","Candlestick","None","None","Smocker","None","The Saav","Gastrotech","None","None","None","None","None","None","None","Bobpack","None"
1080,"Cap Flag","Mol Bon Tunnel","None","Phase 1","None","None","None","Scablands","None","Hull Breacher","None","None","Smocker","None","Rustler's Braincage","None","None","None","None","None","None","None","Amplifier","Squirrel Pack","None"
1081,"Grasslands","The Bench","None","Phase 1","None","None","None","Scablands","Cageyes","Hull Breacher","None","None","Smocker","None","None","Tribal","None","None","None","None","None","None","Amplifier","Squirrel Pack","None"
1082,"Solid","Slash Patcher","None","Phase 1","None","None","None","Scablands","None","Roulette","None","None","Vayon Worksuit","None","Sock x Charybdis","Gastrotech","None","None","None","None","None","None","Encased Regulator","Bobpack","None"
1083,"Solid","Gael","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Kreegal Cloak","None","Yawper","Pistols","None","None","None","None","None","None","Encased Regulator","Squirrel Pack","None"
1084,"None","None","None","Phase 1","None","Cold","None","Scablands","None","None","None","None","None","None","None","Legendary","None","None","None","None","None","None","None","None","None"
1085,"Grasslands","Mol Bon Tunnel","Yes","Phase 1","None","None","None","Scablands","None","The (Fat) Koltso","None","None","Smocker","None","Rustler's Braincage","None","None","None","None","None","None","None","Heavy Duty Regulator","Squirrel Pack","None"
1086,"Solid","Topography Society","None","Phase 1","None","None","None","Scablands","None","Roulette","None","None","Gutter Shirt","None","Baghead","None","None","None","None","None","None","None","None","Squirrel Pack","None"
1087,"Rust","Cathedral","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Platemail","None","Baghead x Bincal","Gastrotech","None","None","None","None","None","None","Industrial Regulator","Caddypack","None"
1088,"Solid","Machinist Social Club","None","Phase 1","None","None","None","Scablands","Cageyes","Candlestick","None","None","Pitchfork Prongshell","None","None","Tribal","None","None","None","None","None","None","None","None","None"
1089,"Rust","Mesmegraph","None","Phase 1","None","None","None","Scablands","None","Soaker","None","None","Platemail","None","Backstab Squeezebox","Junkyard-built","None","None","None","None","None","None","Industrial Regulator","The Sink","None"
0109,"Solid","Grid Gang","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Smocker","None","The Clincher","Pistols","None","None","None","None","None","None","Encased Regulator","Scrapper","None"
1090,"Cap Flag","Engineers Guild","None","Phase 1","None","None","None","Scablands","None","Bolt Harp","None","None","Smocker","None","Backstab Squeezebox","None","None","None","None","None","None","None","Amplifier","Bobpack","None"
1091,"Solid","Roving Terror","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Gutter Shirt","None","The Clincher","Pistols","None","None","None","None","None","None","Heavy Duty Regulator","Squirrel Pack","None"
1092,"Solid","Union of Merchants","None","Phase 1","None","None","None","Scablands","None","The Nozzle","None","Fane","Smocker","None","Yawper","Pistols","None","None","None","None","None","None","Heavy Duty Regulator","Plant Buddy","None"
1093,"Solid","Mercenary","None","Phase 1","None","None","None","Scablands","None","Trunker","None","None","Gutter Shirt","None","Yawper","None","None","None","None","None","None","None","Encased Regulator","Caddypack","None"
1094,"Solid","High Tox","None","Phase 1","None","None","None","Scablands","None","Soapy","None","None","Prongshell","None","The Scaper","None","None","None","None","None","None","None","None","None","None"
1095,"Solid","Saddler Racing League","None","Phase 1","None","None","None","Scablands","None","Trunker","None","None","Grounder Pounder","None","Yawper","None","None","None","None","None","None","None","None","Squirrel Pack","None"
1096,"Grasslands","High Tox","None","Phase 1","None","None","None","Scablands","None","Thruster","None","None","Smocker","None","Rustler's Braincage","None","None","None","None","None","None","None","Amplifier","Caddypack","None"
1097,"Solid","House of Ourbous","None","Phase 1","None","None","None","Scablands","None","Hull Breacher","None","None","Vayon Worksuit","None","Backstab Squeezebox","None","None","None","None","None","None","None","Heavy Duty Regulator","Squirrel Pack","None"
1098,"Grasslands","The Man Earlie Expeditionary Society","None","Phase 1","None","None","None","Scablands","None","Steady Hammer","None","None","Smocker","None","Rustler's Braincage","None","None","None","None","None","None","None","None","None","None"
1099,"Solid","No Damage","None","Phase 1","None","None","None","Scablands","None","Round Foot","None","None","Vayon Worksuit","None","The Bald Beetle","Gastrotech","None","None","None","None","None","None","Utility Vest","The Sink","None"
0011,"Solid","Lethal","None","Phase 1","None","None","None","Scablands","None","Round Foot","None","None","Kreegal Cloak","None","The Clincher","None","None","None","None","None","None","None","Encased Regulator","Squirrel Pack","None"
0110,"Solid","Free Fringe","Yes","Phase 1","None","None","None","Scablands","None","The (Fat) Koltso","None","None","Pitchfork Prongshell","None","The Clincher","None","None","None","None","None","None","None","None","Caddypack","None"
1100,"Solid","The Transcendentalists","None","Phase 1","None","None","None","Scablands","None","Thruster","None","None","Kreegal Cloak","None","Muckface","Gastrotech","None","None","None","None","None","None","None","The Sink","None"
1101,"Cap Flag","The Man Earlie Expeditionary Society","None","Phase 1","None","None","None","Scablands","None","Cove Carver","None","None","Smocker","None","The Scaper","Pistols","None","None","None","None","None","None","Heavy Duty Regulator","Caddypack","None"
1102,"Solid","Void Drifter","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Kreegal Cloak","None","Shutters","Pistols","None","None","None","None","None","None","Disc Regulator","Bobpack","None"
1103,"Cap Flag","Survivalist Guild","None","Phase 1","None","None","None","Scablands","None","The Nozzle","None","None","Smocker","None","Dohead (Pejorative)","Tribal","None","None","None","None","None","None","Heavy Duty Regulator","Scrapper","None"
1104,"Solid","Cove Stalkers","None","Phase 1","None","None","None","Scablands","None","Steady Hammer","None","None","Kreegal Cloak","None","The Channelrat","None","None","None","None","None","None","None","None","The Sink","None"
1105,"None","None","None","Phase 1","None","None","None","Scablands","None","None","None","","None","None","None","Legendary","None","Loneliness","None","None","None","None","None","None","None"
1106,"Solid","Survivalist Guild","None","Phase 1","None","None","None","Scablands","None","Reef Sweeper","None","None","Gutter Shirt","None","Astromask","Tribal","None","None","None","None","None","None","Heavy Duty Regulator","Squirrel Pack","None"
1107,"Solid","Glass Womb","Yes","Phase 1","None","None","None","Scablands","None","The (Fat) Koltso","None","None","Gutter Shirt","None","Good King Maude","None","None","None","None","None","None","None","Encased Regulator","Squirrel Pack","None"
1108,"Solid","Roving Terror","None","Phase 1","None","None","None","Scablands","None","The Nozzle","None","Fane","Prongshell","None","The Channelrat","Pistols","None","None","None","None","None","None","None","Plant Buddy","None"
1109,"Cap Flag","Survivalist Guild","None","Phase 1","None","None","None","Scablands","None","Round Foot","None","None","Smocker","None","Good King Maude","None","None","None","None","None","None","None","Amplifier","Caddypack","None"
0111,"Solid","Orbital Miners Guild","None","Phase 1","None","None","None","Scablands","None","The Shriek","None","None","Smocker","None","Boxhead","None","None","None","None","None","None","None","Amplifier","Squirrel Pack","None"
1110,"Solid","Saddler Racing League","None","Phase 1","None","None","None","Scablands","None","Chainflicker","None","None","Vayon Worksuit","None","Sock x Charybdis","Gastrotech","None","None","None","None","None","None","Encased Regulator","Bobpack","None"
1111,"Solid","Cathedral","None","Phase 1","None","None","None","Scablands","None","The Straight Smile","None","None","Grounder Pounder","None","Muckface","Gastrotech","None","None","None","None","None","None","None","None","None"
1112,"Solid","Orbital Miners Guild","None","Phase 1","None","None","None","Scablands","None","Bolt Harp","None","None","Smocker","None","Boxhead","None","None","None","None","None","None","None","None","None","None"
1113,"Cap Flag","High Tox","None","Phase 1","None","None","None","Scablands","None","The Shriek","None","None","Smocker","None","The Scaper","None","None","None","None","None","None","None","Amplifier","The Sink","None"
1114,"Solid","Cove Stalkers","None","Phase 1","None","None","None","Scablands","None","Trunker","None","None","Grounder Pounder","None","Deathshead","Percussive","None","None","None","None","None","None","None","Squirrel Pack","None"
1115,"Rust","Venonauts","None","Phase 1","None","None","None","Scablands","None","Thruster","None","None","Platemail","None","Clincher x Bincal","Gastrotech","None","None","None","None","None","None","None","Bobpack","None"
1116,"Solid","Ji","None","Phase 1","None","None","None","The Blue","None","The Straight Smile","None","Milo","Kreegal Cloak","None","Boxhead","Melee","None","None","None","None","None","None","None","Gerry Stow","None"
1117,"Cap Flag","Roving Terror","None","Phase 1","None","None","None","Scablands","None","Chainflicker","None","None","Smocker","None","Yawper","None","None","None","None","None","None","None","None","None","None"
1118,"Solid","Cove Stalkers","None","Phase 1","None","None","None","The Blue","None","The Spunker","None","None","Smocker","None","The Stalker","None","None","None","None","None","None","None","None","Caddypack","None"
1119,"Solid","Round Style","None","Phase 1","None","None","None","Scablands","None","Thruster","None","None","Smocker","None","Korkhead","None","None","None","None","None","None","None","Heavy Duty Regulator","Squirrel Pack","None"
0112,"Cap Flag","Slash Patcher","None","Phase 1","None","None","None","Scablands","None","Cove Carver","None","None","Smocker","None","Clincher x Bincal","Gastrotech","None","None","None","None","None","None","None","The Sink","None"
1120,"Solid","Union of Merchants","None","Phase 1","None","None","None","Scablands","None","Reef Sweeper","None","None","Gutter Shirt","None","Yawper","Melee","None","None","None","None","None","None","Encased Regulator","Bobpack","None"
1121,"Solid","The Forsaken","None","Phase 1","None","None","None","Scablands","None","Hull Breacher","None","None","Vayon Worksuit","None","Astromask","Tribal","None","None","None","None","None","None","Encased Regulator","Squirrel Pack","None"
1122,"Solid","Mesmegraph","Yes","Phase 1","None","None","None","Scablands","None","The (Fat) Koltso","None","None","Kreegal Cloak","None","Backstab Squeezebox","None","None","None","None","None","None","None","None","None","None"
1123,"None","None","None","Phase 1","None","None","None","Scablands","None","None","None","None","None","None","None","Legendary","None","None","None","Skulls","None","None","None","None","None"
1124,"Camouflage","High Tox","None","Phase 1","None","None","None","Scablands","None","Hull Breacher","None","None","Prongshell","None","Rustler's Braincage","None","None","None","None","None","None","None","None","None","None"
