id,"Accessory","Class","Headgear Accessory","Suit Accessory","Scrawls","Phase","Location","Suit Color","Suit Pattern","Suit","Headgear","Totem","Backpack","Suit Accessories","Graphic"
1571,"Trunker","Drifter","None","None","Yes","Phase 2","The Void","White","Cap Flag","Smocker","Rustler's Braincage","Dark Grey Air Supply Amulet","Little Huffy","Multiband Regulator","Mesmegraph"
1572,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Deverin Jacket","Hangtooth","None","Caddypack","Fine Tool Harness","Union of Merchants"
1573,"The Nozzle","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Cowl","Smocker","Good King Maude","Light Grey Suit Integrity Amulet","Little Huffy","Heavy Duty Regulator","House of Ourbous"
1574,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Blue","Sacred Passage","Smocker","The Pillowcase","None","None","None","Mark Stay"
1575,"Chainflicker","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","The Scaper","None","Bobpack","Encased Regulator","The Borsch Conservatory of Gastrotechs"
1576,"The Shriek","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Trailmaker","Light Grey Milo Charm","Caddypack","Fine Tool Harness","The Bench"
1577,"Faulk's Icepick","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Kreegal Cloak","Kipper","Yellow Air Supply Amulet","Little Huffy","Encased Regulator","The Man Earlie Expeditionary Society"
1578,"Faulk's Icepick","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Deverin Jacket","Puffy Face","Dark Grey Sanity Amulet","The Sink","Encased Regulator","Grid Gang"
1579,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Prongshell","Boxhead","Medium Grey Drippy Charm","None","None","Survivalist Guild"
1580,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Kreegal Cloak","The Stalker","Light Grey Suit Integrity Amulet","Fancypack","Encased Regulator","House of Ourbous"
1581,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Red","Foss","Vayon Worksuit","Rustler's Braincage","Light Grey Milo Charm","None","None","The Man Earlie Expeditionary Society"
1582,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Black","Solid","Smocker","The Stalker","Dark Grey Air Supply Amulet","Little Huffy","Simple Regulator","Survivalist Guild"
1583,"Cove Carver","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Good King Maude","None","Bobpack","Fine Tool Harness","House of Ourbous"
1584,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","White","Solid","Prongshell","Boxhead","None","None","None","Mercenary"
1585,"Thruster","Drifter","None","None","None","Phase 2","The Void","Blue","Cowl","Smocker","Good King Maude","None","The Sink","Encased Regulator","Freebooters Flag"
1586,"The Koltso","Drifter","Leergear","None","None","Phase 2","The Void","Black","Chords","Smocker","The Pillowcase","None","None","None","Union of Merchants"
1587,"Roulette","Drifter","None","None","Yes","Phase 2","The Void","Green","Solid","Deverin Jacket","The Pillowcase","White Drippy Charm","Little Huffy","Heavy Duty Regulator","Saddler Racing League"
1588,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","Red","Cowl","Smocker","Good King Maude","None","Little Huffy","None","No Damage"
1589,"Trunker","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Deverin Jacket","Hardhat","White Drippy Charm","Caddypack","Fine Tool Harness","Topography Society"
1590,"The Nozzle","Drifter","None","None","Yes","Phase 2","The Void","Red","Solid","Kreegal Cloak","Good King Maude","Light Grey Suit Integrity Amulet","Little Huffy","Multiband Regulator","House of Ourbous"
1591,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Kreegal Cloak","Puffy Face","Light Grey Suit Integrity Amulet","Bobpack","None","Grid Gang"
1592,"The Nozzle","Drifter","None","None","Yes","Phase 2","The Void","Black","Solid","Vayon Worksuit","The Pillowcase","None","Little Huffy","Heavy Duty Regulator","Roving Terror"
1593,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Red","Cowl","Smocker","Boxhead","Dark Grey Drippy Charm","Fancypack","None","League of Channel"
1594,"The Koltso","Drifter","None","None","Yes","Phase 2","The Void","Gray","Chords","Smocker","Backstab Squeezebox","Light Grey Air Supply Amulet","Caddypack","Encased Regulator","High Tox"
1595,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Yellow","Sacred Passage","Smocker","Rustler's Braincage","None","Fancypack","Simple Regulator","Longhaulers"
1596,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","Red","Arvis Edition","Deverin Jacket","Hangtooth","None","Caddypack","Encased Regulator","Freebooters Flag"
1597,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","White","Arvis Edition","Deverin Jacket","Boxhead","None","The Sink","Heavy Duty Regulator","The Bench"
1598,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","Trailmaker","Light Grey Suit Integrity Amulet","Bobpack","Multiband Regulator","Freebooters Flag"
1599,"Roulette","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","The Scaper","White Drippy Charm","Bobpack","Heavy Duty Regulator","Dark Ether House"
1600,"Faulk's Icepick","Drifter","None","None","None","Phase 2","The Void","White","Solid","Deverin Jacket","The Pillowcase","None","Fancypack","Heavy Duty Regulator","Venonauts"
1601,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","Headforge","Red Sanity Amulet","The Sink","Multiband Regulator","Roving Terror"
1602,"Trunker","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Boxhead","None","Fancypack","Heavy Duty Regulator","Freebooters Flag"
1603,"Wedge","Drifter","None","None","None","Phase 2","The Void","Gray","Sacred Passage","Smocker","Puffy Face","Dark Grey Drippy Charm","Fancypack","Encased Regulator","Cove Stalkers"
1604,"Roulette","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Kreegal Cloak","The Stalker","Light Grey Suit Integrity Amulet","The Sink","Encased Regulator","House of Ourbous"
1605,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Good King Maude","White Air Supply Amulet","Fancypack","Multiband Regulator","Orbital Miners Guild"
1606,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Gray","Sacred Passage","Smocker","Hardhat","Dark Grey Milo Charm","The Sink","Encased Regulator","Topography Society"
1607,"Ball Claw","Drifter","None","None","None","Phase 2","The Void","Green","Cap Flag","Smocker","The Stalker","None","Fancypack","Heavy Duty Regulator","Survivalist Guild"
1608,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Solid","Kreegal Cloak","Headforge","None","Caddypack","Encased Regulator","The Path"
1609,"The Shriek","Drifter","None","None","None","Phase 2","The Void","White","Sacred Passage","Smocker","Hardhat","White Drippy Charm","Caddypack","Encased Regulator","Venonauts"
1610,"The Nozzle","Drifter","Eye Patch","None","Yes","Phase 2","The Void","Black","Solid","Vayon Worksuit","Kipper","None","Little Huffy","Multiband Regulator","Mesmegraph"
1611,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","Green","Sacred Passage","Smocker","Rustler's Braincage","White Air Supply Amulet","Little Huffy","Heavy Duty Regulator","The Path"
1612,"Trunker","Drifter","None","None","None","Phase 2","The Void","Blue","Cowl","Smocker","Headforge","Light Grey Suit Integrity Amulet","Fancypack","Simple Regulator","Engineers Guild"
1613,"Hole Puncher","Drifter","None","None","Yes","Phase 2","The Void","Red","Solid","Deverin Jacket","Good King Maude","None","Little Huffy","Encased Regulator","The Path"
1614,"Hole Puncher","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Prongshell","Kipper","Medium Grey Air Supply Amulet","None","None","Venonauts"
1615,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Black","Chords","Smocker","Hangtooth","Dark Grey Milo Charm","None","None","Topography Society"
1616,"Thruster","Drifter","None","None","Yes","Phase 2","The Void","White","Cowl","Smocker","Hangtooth","None","Little Huffy","None","The Bench"
1617,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Kreegal Cloak","Good King Maude","White Drippy Charm","Caddypack","Multiband Regulator","The Path"
1618,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Hangtooth","Red Sanity Amulet","The Sink","Multiband Regulator","The Path"
1619,"Wedge","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","The Scaper","None","None","Utility Vest","High Tox"
1620,"Trunker","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Rustler's Braincage","None","The Sink","Heavy Duty Regulator","Dugall Freight"
1621,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","Rustler's Braincage","None","The Sink","Heavy Duty Regulator","Engineers Guild"
1622,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Smocker","Puffy Face","None","Fancypack","Simple Regulator","The Borsch Conservatory of Gastrotechs"
1623,"The Koltso","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Kreegal Cloak","The Stalker","Light Grey Air Supply Amulet","None","None","The Path"
1624,"Thruster","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Smocker","Rustler's Braincage","None","Caddypack","Simple Regulator","Engineers Guild"
1625,"Trunker","Drifter","None","None","Yes","Phase 2","The Void","White","Ricochet","Vayon Worksuit","Rustler's Braincage","None","Caddypack","Heavy Duty Regulator","Mesmegraph"
1626,"Everdull Snippies","Drifter","None","None","None","Phase 2","The Void","Red","Cowl","Smocker","Soup Gagers","None","Fancypack","Simple Regulator","Free Fringe"
1627,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Green","Cap Flag","Smocker","Good King Maude","Light Grey Suit Integrity Amulet","Bobpack","Heavy Duty Regulator","Cathedral"
1628,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Deverin Jacket","The Stalker","Light Grey Milo Charm","The Sink","Simple Regulator","Engineers Guild"
1629,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Green","Cap Flag","Smocker","Rustler's Braincage","White Air Supply Amulet","Fancypack","Multiband Regulator","League of Channel"
1630,"The Shriek","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Arvis Edition","Deverin Jacket","Boxhead","White Air Supply Amulet","Little Huffy","Multiband Regulator","Mercenary"
1631,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Yellow","Cap Flag","Smocker","The Spyhopper","None","The Sink","Heavy Duty Regulator","Saddler Racing League"
1632,"Thruster","Drifter","None","None","None","Phase 2","The Void","Gray","Arvis Edition","Deverin Jacket","Puffy Face","None","The Sink","Heavy Duty Regulator","Grid Gang"
1633,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Boxhead","Light Grey Suit Integrity Amulet","Fancypack","Multiband Regulator","Dugall Freight"
1634,"The Koltso","Drifter","None","None","Yes","Phase 2","The Void","Red-Yellow","Cap Flag","Smocker","The Pillowcase","None","Little Huffy","Heavy Duty Regulator","Mark Stay"
1635,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Green","Sacred Passage","Smocker","Headforge","None","Bobpack","Heavy Duty Regulator","Machinist Social Club"
1636,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Deverin Jacket","Rustler's Braincage","None","Fancypack","Fine Tool Harness","Longhaulers"
1637,"Hole Puncher","Drifter","Hypervisor","None","None","Phase 2","The Void","White","Foss","Vayon Worksuit","Kipper","Medium Grey Air Supply Amulet","None","Utility Vest","Cross of the Round Power"
1638,"Ball Claw","Drifter","None","None","Yes","Phase 2","The Void","Green","Solid","Kreegal Cloak","The Scaper","None","Little Huffy","Heavy Duty Regulator","The Borsch Conservatory of Gastrotechs"
1639,"Prongseat","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","BC Shiner","None","None","Utility Vest","The Forsaken"
1640,"Ball Claw","Drifter","None","None","Yes","Phase 2","The Void","Green","Cap Flag","Smocker","Backstab Squeezebox","None","Little Huffy","Multiband Regulator","Cathedral"
1641,"Cove Carver","Drifter","Driftcore Shades","None","None","Phase 2","The Void","Gray","Chords","Smocker","BC Shiner","White Air Supply Amulet","Fancypack","Encased Regulator","Longhaulers"
1642,"Hole Puncher","Drifter","None","None","Yes","Phase 2","The Void","Gray","Chords","Smocker","The Scaper","None","Caddypack","Simple Regulator","Survivalist Guild"
1643,"The Shriek","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Cap Flag","Smocker","Boxhead","Medium Grey Air Supply Amulet","Little Huffy","Simple Regulator","Union of Merchants"
1644,"Ball Claw","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Puffy Face","Light Grey Suit Integrity Amulet","Fancypack","Multiband Regulator","High Tox"
1645,"Faulk's Icepick","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","The Spyhopper","White Air Supply Amulet","Fancypack","Heavy Duty Regulator","Dark Ether House"
1646,"Trunker","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Cap Flag","Smocker","Boxhead","None","Little Huffy","Heavy Duty Regulator","Subsurface Miners Guild"
1647,"Death Beam","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","The Scaper","None","None","Utility Vest","No Damage"
1648,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","White","Foss","Vayon Worksuit","Boxhead","None","None","Utility Vest","House of Ourbous"
1649,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Boxhead","None","Fancypack","Utility Vest","The Man Earlie Expeditionary Society"
1650,"Chainflicker","Drifter","None","None","Yes","Phase 2","The Void","White","Solid","Deverin Jacket","The Scaper","Yellow Air Supply Amulet","Little Huffy","Simple Regulator","No Damage"
1651,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Yellow","Cap Flag","Smocker","Headforge","None","The Sink","Heavy Duty Regulator","The Forsaken"
1652,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Green","Foss","Vayon Worksuit","Good King Maude","None","None","None","Dark Ether House"
1653,"The Shriek","Drifter","None","None","None","Phase 2","The Void","White","Cap Flag","Smocker","Rustler's Braincage","None","None","None","Dugall Freight"
1654,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Smocker","Boxhead","None","Fancypack","Simple Regulator","The Man Earlie Expeditionary Society"
1655,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Prongshell","Trailmaker","None","None","None","House of Ourbous"
1656,"Chainflicker","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Kreegal Cloak","The Spyhopper","None","None","None","Free Fringe"
1657,"Death Beam","Drifter","None","None","None","Phase 2","The Void","Yellow","Arvis Edition","Deverin Jacket","Puffy Face","Light Grey Suit Integrity Amulet","The Sink","Multiband Regulator","Deepsatch"
1658,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","Gray","Chords","Smocker","Hangtooth","None","Caddypack","Encased Regulator","Beshtala Expatriation Roster"
1659,"Thruster","Drifter","Driftcore Shades","None","Yes","Phase 2","The Void","Gray","Solid","Kreegal Cloak","The Pillowcase","None","Caddypack","Encased Regulator","Slash Patcher"
1660,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Rustler's Braincage","Medium Grey Drippy Charm","The Sink","Multiband Regulator","Engineers Guild"
1661,"Round Foot","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Hangtooth","None","Fancypack","Utility Vest","Dugall Freight"
1662,"The Nozzle","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Arvis Edition","Deverin Jacket","Good King Maude","None","Little Huffy","Multiband Regulator","Engineers Guild"
1663,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","Gray","Scripture","Kreegal Cloak","Headforge","White Air Supply Amulet","Little Huffy","Heavy Duty Regulator","The Man Earlie Expeditionary Society"
1664,"Bolt Harp","Drifter","None","None","None","Phase 2","The Void","Black","Strapt","Duggie","Good King Maude","None","None","Utility Vest","Cathedral"
1665,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","Red","Cowl","Smocker","Trailmaker","None","Little Huffy","None","Subsurface Miners Guild"
1666,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Prongshell","Kipper","Medium Grey Drippy Charm","None","None","Beshtala Expatriation Roster"
1667,"Trunker","Drifter","None","None","Yes","Phase 2","The Void","Red","Cap Flag","Smocker","Hardhat","None","Little Huffy","None","Beshtala Expatriation Roster"
1668,"Trunker","Drifter","Leergear","None","Yes","Phase 2","The Void","Yellow","Cap Flag","Smocker","The Pillowcase","Medium Grey Sanity Amulet","Little Huffy","Simple Regulator","Union of Merchants"
