id,"Headgear","Location","Backpack","Phase","Class","Headgear Accessory","Suit Accessory","Accessory","Suit Pattern","Suit Accessories","Suit","Suit Color","Graphic","Scrawls","Totem"
1532,"Hangtooth","The Void","Bobpack","Phase 2","Drifter","None","None","Hull Breacher","Solid","Encased Regulator","Smocker","Black","Orbital Miners Guild","None","Dark Grey Decontamination Amulet"
1533,"The Spyhopper","The Void","None","Phase 2","Drifter","None","None","The Shriek","Foss","Utility Vest","Vayon Worksuit","Yellow","The Bench","None","None"
1534,"Good King Maude","The Void","Bobpack","Phase 2","Drifter","None","None","The Nozzle","Arvis Edition","Heavy Duty Regulator","Deverin Jacket","Gray","Saddler Racing League","None","Light Grey Suit Integrity Amulet"
1535,"The Spyhopper","The Void","Caddypack","Phase 2","Drifter","None","None","Everdull Snippies","Cap Flag","None","Smocker","Green","The Bench","Yes","White Suit Integrity Amulet"
1536,"Rustler's Braincage","The Void","None","Phase 2","Drifter","None","None","Trunker","Solid","None","Prongshell","White","Longhaulers","None","Medium Grey Sanity Amulet"
1537,"Kipper","The Void","Caddypack","Phase 2","Drifter","Driftcore Shades","None","The (Fat) Koltso","Solid","Heavy Duty Regulator","Kreegal Cloak","Red","Topography Society","Yes","Light Grey Decontamination Amulet"
1538,"Hangtooth","The Void","Little Huffy","Phase 2","Drifter","None","None","The (Fat) Koltso","Sacred Passage","Encased Regulator","Smocker","Red","House of Ourbous","Yes","Dark Grey Milo Charm"
1539,"The Spyhopper","The Void","Fancypack","Phase 2","Drifter","None","None","Wedge","Solid","Heavy Duty Regulator","Kreegal Cloak","Black","High Tox","None","None"
1540,"Rustler's Braincage","The Void","Caddypack","Phase 2","Drifter","None","None","Hole Puncher","Solid","Multiband Regulator","Vayon Worksuit","Gray","Engineers Guild","None","White Drippy Charm"
1541,"Boxhead","The Void","None","Phase 2","Drifter","None","None","Hull Breacher","Solid","None","Prongshell","Red","The Path","None","None"
1542,"Good King Maude","The Void","Fancypack","Phase 2","Drifter","None","None","The Nozzle","Solid","Multiband Regulator","Vayon Worksuit","Gray","Engineers Guild","None","White Air Supply Amulet"
1543,"Rustler's Braincage","The Void","The Sink","Phase 2","Drifter","None","None","Hull Breacher","Cowl","Simple Regulator","Smocker","Red","The Path","None","Light Grey Milo Charm"
1544,"Hardhat","The Void","None","Phase 2","Drifter","None","None","Cove Carver","Solid","None","Prongshell","White","Beshtala Expatriation Roster","None","None"
1545,"Hangtooth","The Void","Fancypack","Phase 2","Drifter","None","None","The (Fat) Koltso","Cap Flag","Heavy Duty Regulator","Smocker","Red","Orbital Miners Guild","None","White Air Supply Amulet"
1546,"Good King Maude","The Void","None","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","None","Prongshell","Green","Survivalist Guild","None","Medium Grey Drippy Charm"
1547,"Puffy Face","The Void","The Sink","Phase 2","Drifter","None","None","Faulk's Icepick","Solid","Heavy Duty Regulator","Kreegal Cloak","Gray","The Forsaken","None","Red Sanity Amulet"
1548,"The Pillowcase","The Void","Caddypack","Phase 2","Drifter","None","None","Cove Carver","Arvis Edition","Heavy Duty Regulator","Deverin Jacket","White","The Pyramid Order","Yes","None"
1549,"Good King Maude","The Void","None","Phase 2","Drifter","None","None","Trunker","Foss","None","Vayon Worksuit","White","League of Channel","None","None"
1550,"Kipper","The Void","Fancypack","Phase 2","Drifter","None","None","Death Beam","Cap Flag","None","Smocker","White","Cross of the Round Power","None","Light Grey Suit Integrity Amulet"
1551,"Good King Maude","The Void","Little Huffy","Phase 2","Drifter","None","None","The (Fat) Koltso","Cowl","Simple Regulator","Smocker","Blue","Saddler Racing League","Yes","Yellow Air Supply Amulet"
1552,"Good King Maude","The Void","None","Phase 2","Drifter","None","None","Hull Breacher","Foss","Utility Vest","Vayon Worksuit","Yellow","Union of Merchants","None","None"
1553,"BC Shiner","The Void","Caddypack","Phase 2","Drifter","Hypervisor","None","Ball Claw","Solid","Simple Regulator","Deverin Jacket","White","Slash Patcher","Yes","Light Grey Decontamination Amulet"
1554,"Rustler's Braincage","The Void","None","Phase 2","Drifter","None","None","Hole Puncher","Solid","None","Prongshell","Yellow","The Path","None","Medium Grey Air Supply Amulet"
1555,"Headforge","The Void","The Sink","Phase 2","Drifter","None","None","The (Fat) Koltso","Cap Flag","Simple Regulator","Smocker","Yellow","Free Fringe","None","Light Grey Milo Charm"
1556,"Good King Maude","The Void","Little Huffy","Phase 2","Drifter","None","None","Trunker","Cowl","Multiband Regulator","Smocker","Blue","Orbital Miners Guild","Yes","Medium Grey Sanity Amulet"
1557,"Backstab Squeezebox","The Void","None","Phase 2","Drifter","None","None","Prongseat","Sacred Passage","None","Smocker","Green","Grid Gang","None","Light Grey Decontamination Amulet"
1558,"Headforge","The Void","None","Phase 2","Drifter","None","None","Hull Breacher","Solid","Utility Vest","Vayon Worksuit","Black","Engineers Guild","None","None"
1559,"The Scaper","The Void","Bobpack","Phase 2","Drifter","None","None","Wedge","Cowl","None","Smocker","Yellow","Venonauts","None","Medium Grey Sanity Amulet"
1560,"Backstab Squeezebox","The Void","The Sink","Phase 2","Drifter","None","None","Thruster","Solid","Encased Regulator","Kreegal Cloak","Yellow","Slash Patcher","None","Light Grey Milo Charm"
1561,"The Spyhopper","The Void","Caddypack","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Fine Tool Harness","Deverin Jacket","Green","Cathedral","Yes","None"
1562,"Good King Maude","The Void","Little Huffy","Phase 2","Drifter","None","None","The Shriek","Sacred Passage","Simple Regulator","Smocker","Yellow","Survivalist Guild","Yes","Medium Grey Air Supply Amulet"
1563,"BC Shiner","The Void","Fancypack","Phase 2","Drifter","Leergear","None","Everdull Snippies","Chords","Encased Regulator","Smocker","Gray","Orbital Miners Guild","None","None"
1564,"Hangtooth","The Void","Caddypack","Phase 2","Drifter","None","None","Hull Breacher","Solid","Heavy Duty Regulator","Kreegal Cloak","Black","Engineers Guild","Yes","None"
1565,"The Stalker","The Void","None","Phase 2","Drifter","None","None","Thruster","Solid","Utility Vest","Vayon Worksuit","Black","House of Ourbous","None","None"
1566,"The Pillowcase","The Void","Caddypack","Phase 2","Drifter","None","None","Death Beam","Cap Flag","Heavy Duty Regulator","Smocker","Red","Roving Terror","Yes","Yellow Drippy Charm"
1567,"Headforge","The Void","Bobpack","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Heavy Duty Regulator","Kreegal Cloak","Gray","Mesmegraph","None","Yellow Drippy Charm"
1568,"Boxhead","The Void","Little Huffy","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Simple Regulator","Smocker","Gray","House of Ourbous","Yes","None"
1569,"The Pillowcase","The Void","Fancypack","Phase 2","Drifter","None","None","Death Beam","Cowl","None","Smocker","Yellow","Venonauts","None","None"
1570,"Headforge","The Void","The Sink","Phase 2","Drifter","None","None","The (Fat) Koltso","Cap Flag","Simple Regulator","Smocker","Yellow","Longhaulers","None","None"
1571,"Rustler's Braincage","The Void","Little Huffy","Phase 2","Drifter","None","None","Trunker","Cap Flag","Multiband Regulator","Smocker","White","Mesmegraph","Yes","Dark Grey Air Supply Amulet"
1572,"Hangtooth","The Void","Caddypack","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Fine Tool Harness","Deverin Jacket","Gray","Union of Merchants","Yes","None"
1573,"Good King Maude","The Void","Little Huffy","Phase 2","Drifter","None","None","The Nozzle","Cowl","Heavy Duty Regulator","Smocker","Yellow","House of Ourbous","Yes","Light Grey Suit Integrity Amulet"
1574,"The Pillowcase","The Void","None","Phase 2","Drifter","None","None","Bolt Harp","Sacred Passage","None","Smocker","Blue","Mark Stay","None","None"
1575,"The Scaper","The Void","Bobpack","Phase 2","Drifter","None","None","Chainflicker","Solid","Encased Regulator","Vayon Worksuit","Black","The Borsch Conservatory of Gastrotechs","None","None"
1576,"Trailmaker","The Void","Caddypack","Phase 2","Drifter","None","None","The Shriek","Solid","Fine Tool Harness","Vayon Worksuit","Gray","The Bench","Yes","Light Grey Milo Charm"
1577,"Kipper","The Void","Little Huffy","Phase 2","Drifter","None","None","Faulk's Icepick","Solid","Encased Regulator","Kreegal Cloak","Gray","The Man Earlie Expeditionary Society","Yes","Yellow Air Supply Amulet"
1578,"Puffy Face","The Void","The Sink","Phase 2","Drifter","None","None","Faulk's Icepick","Solid","Encased Regulator","Deverin Jacket","Red","Grid Gang","None","Dark Grey Sanity Amulet"
1579,"Boxhead","The Void","None","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","None","Prongshell","Green","Survivalist Guild","None","Medium Grey Drippy Charm"
1580,"The Stalker","The Void","Fancypack","Phase 2","Drifter","None","None","Steady Hammer","Solid","Encased Regulator","Kreegal Cloak","Gray","House of Ourbous","None","Light Grey Suit Integrity Amulet"
1581,"Rustler's Braincage","The Void","None","Phase 2","Drifter","None","None","The Shriek","Foss","None","Vayon Worksuit","Red","The Man Earlie Expeditionary Society","None","Light Grey Milo Charm"
1582,"The Stalker","The Void","Little Huffy","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Simple Regulator","Smocker","Black","Survivalist Guild","Yes","Dark Grey Air Supply Amulet"
1583,"Good King Maude","The Void","Bobpack","Phase 2","Drifter","None","None","Cove Carver","Solid","Fine Tool Harness","Vayon Worksuit","Gray","House of Ourbous","None","None"
1584,"Boxhead","The Void","None","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","None","Prongshell","White","Mercenary","None","None"
1585,"Good King Maude","The Void","The Sink","Phase 2","Drifter","None","None","Thruster","Cowl","Encased Regulator","Smocker","Blue","Freebooters Flag","None","None"
1586,"The Pillowcase","The Void","None","Phase 2","Drifter","Leergear","None","The Koltso","Chords","None","Smocker","Black","Union of Merchants","None","None"
1587,"The Pillowcase","The Void","Little Huffy","Phase 2","Drifter","None","None","Roulette","Solid","Heavy Duty Regulator","Deverin Jacket","Green","Saddler Racing League","Yes","White Drippy Charm"
1588,"Good King Maude","The Void","Little Huffy","Phase 2","Drifter","None","None","Hull Breacher","Cowl","None","Smocker","Red","No Damage","Yes","None"
1589,"Hardhat","The Void","Caddypack","Phase 2","Drifter","None","None","Trunker","Solid","Fine Tool Harness","Deverin Jacket","Green","Topography Society","None","White Drippy Charm"
1590,"Good King Maude","The Void","Little Huffy","Phase 2","Drifter","None","None","The Nozzle","Solid","Multiband Regulator","Kreegal Cloak","Red","House of Ourbous","Yes","Light Grey Suit Integrity Amulet"
1591,"Puffy Face","The Void","Bobpack","Phase 2","Drifter","None","None","The Nozzle","Solid","None","Kreegal Cloak","Gray","Grid Gang","None","Light Grey Suit Integrity Amulet"
1592,"The Pillowcase","The Void","Little Huffy","Phase 2","Drifter","None","None","The Nozzle","Solid","Heavy Duty Regulator","Vayon Worksuit","Black","Roving Terror","Yes","None"
1593,"Boxhead","The Void","Fancypack","Phase 2","Drifter","None","None","Hull Breacher","Cowl","None","Smocker","Red","League of Channel","None","Dark Grey Drippy Charm"
1594,"Backstab Squeezebox","The Void","Caddypack","Phase 2","Drifter","None","None","The Koltso","Chords","Encased Regulator","Smocker","Gray","High Tox","Yes","Light Grey Air Supply Amulet"
1595,"Rustler's Braincage","The Void","Fancypack","Phase 2","Drifter","None","None","The Nozzle","Sacred Passage","Simple Regulator","Smocker","Yellow","Longhaulers","None","None"
1596,"Hangtooth","The Void","Caddypack","Phase 2","Drifter","None","None","Hull Breacher","Arvis Edition","Encased Regulator","Deverin Jacket","Red","Freebooters Flag","Yes","None"
1597,"Boxhead","The Void","The Sink","Phase 2","Drifter","None","None","Bolt Harp","Arvis Edition","Heavy Duty Regulator","Deverin Jacket","White","The Bench","None","None"
1598,"Trailmaker","The Void","Bobpack","Phase 2","Drifter","None","None","The Nozzle","Cap Flag","Multiband Regulator","Smocker","Red","Freebooters Flag","None","Light Grey Suit Integrity Amulet"
1599,"The Scaper","The Void","Bobpack","Phase 2","Drifter","None","None","Roulette","Solid","Heavy Duty Regulator","Vayon Worksuit","Black","Dark Ether House","None","White Drippy Charm"
1600,"The Pillowcase","The Void","Fancypack","Phase 2","Drifter","None","None","Faulk's Icepick","Solid","Heavy Duty Regulator","Deverin Jacket","White","Venonauts","None","None"
1601,"Headforge","The Void","The Sink","Phase 2","Drifter","None","None","Hull Breacher","Cap Flag","Multiband Regulator","Smocker","Red","Roving Terror","None","Red Sanity Amulet"
1602,"Boxhead","The Void","Fancypack","Phase 2","Drifter","None","None","Trunker","Solid","Heavy Duty Regulator","Vayon Worksuit","Gray","Freebooters Flag","None","None"
1603,"Puffy Face","The Void","Fancypack","Phase 2","Drifter","None","None","Wedge","Sacred Passage","Encased Regulator","Smocker","Gray","Cove Stalkers","None","Dark Grey Drippy Charm"
1604,"The Stalker","The Void","The Sink","Phase 2","Drifter","None","None","Roulette","Solid","Encased Regulator","Kreegal Cloak","Yellow","House of Ourbous","None","Light Grey Suit Integrity Amulet"
1605,"Good King Maude","The Void","Fancypack","Phase 2","Drifter","None","None","The Nozzle","Solid","Multiband Regulator","Vayon Worksuit","Gray","Orbital Miners Guild","None","White Air Supply Amulet"
1606,"Hardhat","The Void","The Sink","Phase 2","Drifter","None","None","The (Fat) Koltso","Sacred Passage","Encased Regulator","Smocker","Gray","Topography Society","None","Dark Grey Milo Charm"
1607,"The Stalker","The Void","Fancypack","Phase 2","Drifter","None","None","Ball Claw","Cap Flag","Heavy Duty Regulator","Smocker","Green","Survivalist Guild","None","None"
1608,"Headforge","The Void","Caddypack","Phase 2","Drifter","None","None","Hull Breacher","Solid","Encased Regulator","Kreegal Cloak","Yellow","The Path","Yes","None"
1609,"Hardhat","The Void","Caddypack","Phase 2","Drifter","None","None","The Shriek","Sacred Passage","Encased Regulator","Smocker","White","Venonauts","None","White Drippy Charm"
1610,"Kipper","The Void","Little Huffy","Phase 2","Drifter","Eye Patch","None","The Nozzle","Solid","Multiband Regulator","Vayon Worksuit","Black","Mesmegraph","Yes","None"
1611,"Rustler's Braincage","The Void","Little Huffy","Phase 2","Drifter","None","None","Hull Breacher","Sacred Passage","Heavy Duty Regulator","Smocker","Green","The Path","Yes","White Air Supply Amulet"
1612,"Headforge","The Void","Fancypack","Phase 2","Drifter","None","None","Trunker","Cowl","Simple Regulator","Smocker","Blue","Engineers Guild","None","Light Grey Suit Integrity Amulet"
1613,"Good King Maude","The Void","Little Huffy","Phase 2","Drifter","None","None","Hole Puncher","Solid","Encased Regulator","Deverin Jacket","Red","The Path","Yes","None"
1614,"Kipper","The Void","None","Phase 2","Drifter","None","None","Hole Puncher","Solid","None","Prongshell","Green","Venonauts","None","Medium Grey Air Supply Amulet"
1615,"Hangtooth","The Void","None","Phase 2","Drifter","None","None","The (Fat) Koltso","Chords","None","Smocker","Black","Topography Society","None","Dark Grey Milo Charm"
1616,"Hangtooth","The Void","Little Huffy","Phase 2","Drifter","None","None","Thruster","Cowl","None","Smocker","White","The Bench","Yes","None"
1617,"Good King Maude","The Void","Caddypack","Phase 2","Drifter","None","None","Bolt Harp","Solid","Multiband Regulator","Kreegal Cloak","Red","The Path","None","White Drippy Charm"
1618,"Hangtooth","The Void","The Sink","Phase 2","Drifter","None","None","Steady Hammer","Solid","Multiband Regulator","Vayon Worksuit","Black","The Path","None","Red Sanity Amulet"
1619,"The Scaper","The Void","None","Phase 2","Drifter","None","None","Wedge","Solid","Utility Vest","Vayon Worksuit","Black","High Tox","None","None"
1620,"Rustler's Braincage","The Void","The Sink","Phase 2","Drifter","None","None","Trunker","Solid","Heavy Duty Regulator","Vayon Worksuit","Black","Dugall Freight","None","None"
1621,"Rustler's Braincage","The Void","The Sink","Phase 2","Drifter","None","None","Hull Breacher","Cap Flag","Heavy Duty Regulator","Smocker","Red","Engineers Guild","None","None"
1622,"Puffy Face","The Void","Fancypack","Phase 2","Drifter","None","None","Hull Breacher","Solid","Simple Regulator","Smocker","Black","The Borsch Conservatory of Gastrotechs","None","None"
1623,"The Stalker","The Void","None","Phase 2","Drifter","None","None","The Koltso","Solid","None","Kreegal Cloak","Red","The Path","None","Light Grey Air Supply Amulet"
1624,"Rustler's Braincage","The Void","Caddypack","Phase 2","Drifter","None","None","Thruster","Solid","Simple Regulator","Smocker","Gray","Engineers Guild","Yes","None"
1625,"Rustler's Braincage","The Void","Caddypack","Phase 2","Drifter","None","None","Trunker","Ricochet","Heavy Duty Regulator","Vayon Worksuit","White","Mesmegraph","Yes","None"
1626,"Soup Gagers","The Void","Fancypack","Phase 2","Drifter","None","None","Everdull Snippies","Cowl","Simple Regulator","Smocker","Red","Free Fringe","None","None"
1627,"Good King Maude","The Void","Bobpack","Phase 2","Drifter","None","None","The Nozzle","Cap Flag","Heavy Duty Regulator","Smocker","Green","Cathedral","None","Light Grey Suit Integrity Amulet"
1628,"The Stalker","The Void","The Sink","Phase 2","Drifter","None","None","Steady Hammer","Solid","Simple Regulator","Deverin Jacket","Red","Engineers Guild","None","Light Grey Milo Charm"
1629,"Rustler's Braincage","The Void","Fancypack","Phase 2","Drifter","None","None","The Shriek","Cap Flag","Multiband Regulator","Smocker","Green","League of Channel","None","White Air Supply Amulet"
1630,"Boxhead","The Void","Little Huffy","Phase 2","Drifter","None","None","The Shriek","Arvis Edition","Multiband Regulator","Deverin Jacket","Yellow","Mercenary","Yes","White Air Supply Amulet"
1631,"The Spyhopper","The Void","The Sink","Phase 2","Drifter","None","None","Steady Hammer","Cap Flag","Heavy Duty Regulator","Smocker","Yellow","Saddler Racing League","None","None"
1632,"Puffy Face","The Void","The Sink","Phase 2","Drifter","None","None","Thruster","Arvis Edition","Heavy Duty Regulator","Deverin Jacket","Gray","Grid Gang","None","None"
1633,"Boxhead","The Void","Fancypack","Phase 2","Drifter","None","None","Steady Hammer","Solid","Multiband Regulator","Vayon Worksuit","Black","Dugall Freight","None","Light Grey Suit Integrity Amulet"
1634,"The Pillowcase","The Void","Little Huffy","Phase 2","Drifter","None","None","The Koltso","Cap Flag","Heavy Duty Regulator","Smocker","Red-Yellow","Mark Stay","Yes","None"
1635,"Headforge","The Void","Bobpack","Phase 2","Drifter","None","None","Hull Breacher","Sacred Passage","Heavy Duty Regulator","Smocker","Green","Machinist Social Club","None","None"
1636,"Rustler's Braincage","The Void","Fancypack","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Fine Tool Harness","Deverin Jacket","Yellow","Longhaulers","None","None"
1637,"Kipper","The Void","None","Phase 2","Drifter","Hypervisor","None","Hole Puncher","Foss","Utility Vest","Vayon Worksuit","White","Cross of the Round Power","None","Medium Grey Air Supply Amulet"
1638,"The Scaper","The Void","Little Huffy","Phase 2","Drifter","None","None","Ball Claw","Solid","Heavy Duty Regulator","Kreegal Cloak","Green","The Borsch Conservatory of Gastrotechs","Yes","None"
1639,"BC Shiner","The Void","None","Phase 2","Drifter","None","None","Prongseat","Solid","Utility Vest","Vayon Worksuit","Gray","The Forsaken","None","None"
1640,"Backstab Squeezebox","The Void","Little Huffy","Phase 2","Drifter","None","None","Ball Claw","Cap Flag","Multiband Regulator","Smocker","Green","Cathedral","Yes","None"
1641,"BC Shiner","The Void","Fancypack","Phase 2","Drifter","Driftcore Shades","None","Cove Carver","Chords","Encased Regulator","Smocker","Gray","Longhaulers","None","White Air Supply Amulet"
1642,"The Scaper","The Void","Caddypack","Phase 2","Drifter","None","None","Hole Puncher","Chords","Simple Regulator","Smocker","Gray","Survivalist Guild","Yes","None"
1643,"Boxhead","The Void","Little Huffy","Phase 2","Drifter","None","None","The Shriek","Cap Flag","Simple Regulator","Smocker","Yellow","Union of Merchants","Yes","Medium Grey Air Supply Amulet"
1644,"Puffy Face","The Void","Fancypack","Phase 2","Drifter","None","None","Ball Claw","Solid","Multiband Regulator","Vayon Worksuit","Black","High Tox","None","Light Grey Suit Integrity Amulet"
1645,"The Spyhopper","The Void","Fancypack","Phase 2","Drifter","None","None","Faulk's Icepick","Solid","Heavy Duty Regulator","Vayon Worksuit","Gray","Dark Ether House","None","White Air Supply Amulet"
1646,"Boxhead","The Void","Little Huffy","Phase 2","Drifter","None","None","Trunker","Cap Flag","Heavy Duty Regulator","Smocker","Yellow","Subsurface Miners Guild","Yes","None"
1647,"The Scaper","The Void","None","Phase 2","Drifter","None","None","Death Beam","Solid","Utility Vest","Vayon Worksuit","Gray","No Damage","None","None"
1648,"Boxhead","The Void","None","Phase 2","Drifter","None","None","Hull Breacher","Foss","Utility Vest","Vayon Worksuit","White","House of Ourbous","None","None"
1649,"Boxhead","The Void","Fancypack","Phase 2","Drifter","None","None","Steady Hammer","Solid","Utility Vest","Vayon Worksuit","Black","The Man Earlie Expeditionary Society","None","None"
1650,"The Scaper","The Void","Little Huffy","Phase 2","Drifter","None","None","Chainflicker","Solid","Simple Regulator","Deverin Jacket","White","No Damage","Yes","Yellow Air Supply Amulet"
1651,"Headforge","The Void","The Sink","Phase 2","Drifter","None","None","Hull Breacher","Cap Flag","Heavy Duty Regulator","Smocker","Yellow","The Forsaken","None","None"
1652,"Good King Maude","The Void","None","Phase 2","Drifter","None","None","Hull Breacher","Foss","None","Vayon Worksuit","Green","Dark Ether House","None","None"
1653,"Rustler's Braincage","The Void","None","Phase 2","Drifter","None","None","The Shriek","Cap Flag","None","Smocker","White","Dugall Freight","None","None"
1654,"Boxhead","The Void","Fancypack","Phase 2","Drifter","None","None","Hull Breacher","Solid","Simple Regulator","Smocker","Black","The Man Earlie Expeditionary Society","None","None"
1655,"Trailmaker","The Void","None","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","None","Prongshell","Green","House of Ourbous","None","None"
1656,"The Spyhopper","The Void","None","Phase 2","Drifter","None","None","Chainflicker","Solid","None","Kreegal Cloak","Black","Free Fringe","None","None"
1657,"Puffy Face","The Void","The Sink","Phase 2","Drifter","None","None","Death Beam","Arvis Edition","Multiband Regulator","Deverin Jacket","Yellow","Deepsatch","None","Light Grey Suit Integrity Amulet"
1658,"Hangtooth","The Void","Caddypack","Phase 2","Drifter","None","None","Hull Breacher","Chords","Encased Regulator","Smocker","Gray","Beshtala Expatriation Roster","Yes","None"
1659,"The Pillowcase","The Void","Caddypack","Phase 2","Drifter","Driftcore Shades","None","Thruster","Solid","Encased Regulator","Kreegal Cloak","Gray","Slash Patcher","Yes","None"
1660,"Rustler's Braincage","The Void","The Sink","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Multiband Regulator","Vayon Worksuit","Black","Engineers Guild","None","Medium Grey Drippy Charm"
1661,"Hangtooth","The Void","Fancypack","Phase 2","Drifter","None","None","Round Foot","Solid","Utility Vest","Vayon Worksuit","Black","Dugall Freight","None","None"
1662,"Good King Maude","The Void","Little Huffy","Phase 2","Drifter","None","None","The Nozzle","Arvis Edition","Multiband Regulator","Deverin Jacket","Yellow","Engineers Guild","Yes","None"
1663,"Headforge","The Void","Little Huffy","Phase 2","Drifter","None","None","Hull Breacher","Scripture","Heavy Duty Regulator","Kreegal Cloak","Gray","The Man Earlie Expeditionary Society","Yes","White Air Supply Amulet"
1664,"Good King Maude","The Void","None","Phase 2","Drifter","None","None","Bolt Harp","Strapt","Utility Vest","Duggie","Black","Cathedral","None","None"
1665,"Trailmaker","The Void","Little Huffy","Phase 2","Drifter","None","None","Hull Breacher","Cowl","None","Smocker","Red","Subsurface Miners Guild","Yes","None"
1666,"Kipper","The Void","None","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","None","Prongshell","Green","Beshtala Expatriation Roster","None","Medium Grey Drippy Charm"
1667,"Hardhat","The Void","Little Huffy","Phase 2","Drifter","None","None","Trunker","Cap Flag","None","Smocker","Red","Beshtala Expatriation Roster","Yes","None"
1668,"The Pillowcase","The Void","Little Huffy","Phase 2","Drifter","Leergear","None","Trunker","Cap Flag","Simple Regulator","Smocker","Yellow","Union of Merchants","Yes","Medium Grey Sanity Amulet"
