id,"Accessory","Backpack","Class","Death","Graphic","Headgear","Headgear Accessory","Location","Phase","Scrawls","Suit","Suit Accessories","Suit Accessory","Suit Color","Suit Pattern","Totem"
1571,"Trunker","Little Huffy","Drifter","None","Mesmegraph","Rustler's Braincage","None","The Void","Phase 2","Yes","Smocker","Multiband Regulator","None","White","Cap Flag","Dark Grey Air Supply Amulet"
1572,"The (Fat) Koltso","Caddypack","Drifter","None","Union of Merchants","Hangtooth","None","The Void","Phase 2","Yes","Deverin Jacket","Fine Tool Harness","None","Gray","Solid","None"
1573,"The Nozzle","Little Huffy","Drifter","None","House of Ourbous","Good King Maude","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Yellow","Cowl","Light Grey Suit Integrity Amulet"
1574,"Bolt Harp","None","Drifter","None","Mark Stay","The Pillowcase","None","The Void","Phase 2","None","Smocker","None","None","Blue","Sacred Passage","None"
1575,"Chainflicker","Bobpack","Drifter","None","The Borsch Conservatory of Gastrotechs","The Scaper","None","The Void","Phase 2","None","Vayon Worksuit","Encased Regulator","None","Black","Solid","None"
1576,"The Shriek","Caddypack","Drifter","None","The Bench","Trailmaker","None","The Void","Phase 2","Yes","Vayon Worksuit","Fine Tool Harness","None","Gray","Solid","Light Grey Milo Charm"
1577,"Faulk's Icepick","Little Huffy","Drifter","None","The Man Earlie Expeditionary Society","Kipper","None","The Void","Phase 2","Yes","Kreegal Cloak","Encased Regulator","None","Gray","Solid","Yellow Air Supply Amulet"
1578,"Faulk's Icepick","The Sink","Drifter","None","Grid Gang","Puffy Face","None","The Void","Phase 2","None","Deverin Jacket","Encased Regulator","None","Red","Solid","Dark Grey Sanity Amulet"
1579,"The (Fat) Koltso","None","Drifter","None","Survivalist Guild","Boxhead","None","The Void","Phase 2","None","Prongshell","None","None","Green","Solid","Medium Grey Drippy Charm"
1580,"Steady Hammer","Fancypack","Drifter","None","House of Ourbous","The Stalker","None","The Void","Phase 2","None","Kreegal Cloak","Encased Regulator","None","Gray","Solid","Light Grey Suit Integrity Amulet"
1581,"The Shriek","None","Drifter","None","The Man Earlie Expeditionary Society","Rustler's Braincage","None","The Void","Phase 2","None","Vayon Worksuit","None","None","Red","Foss","Light Grey Milo Charm"
1582,"The (Fat) Koltso","Little Huffy","Drifter","None","Survivalist Guild","The Stalker","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Black","Solid","Dark Grey Air Supply Amulet"
1583,"Cove Carver","Bobpack","Drifter","None","House of Ourbous","Good King Maude","None","The Void","Phase 2","None","Vayon Worksuit","Fine Tool Harness","None","Gray","Solid","None"
1584,"The (Fat) Koltso","None","Drifter","None","Mercenary","Boxhead","None","The Void","Phase 2","None","Prongshell","None","None","White","Solid","None"
1585,"Thruster","The Sink","Drifter","None","Freebooters Flag","Good King Maude","None","The Void","Phase 2","None","Smocker","Encased Regulator","None","Blue","Cowl","None"
1586,"The Koltso","None","Drifter","None","Union of Merchants","The Pillowcase","Leergear","The Void","Phase 2","None","Smocker","None","None","Black","Chords","None"
1587,"Roulette","Little Huffy","Drifter","None","Saddler Racing League","The Pillowcase","None","The Void","Phase 2","Yes","Deverin Jacket","Heavy Duty Regulator","None","Green","Solid","White Drippy Charm"
1588,"Hull Breacher","Little Huffy","Drifter","None","No Damage","Good King Maude","None","The Void","Phase 2","Yes","Smocker","None","None","Red","Cowl","None"
1589,"Trunker","Caddypack","Drifter","None","Topography Society","Hardhat","None","The Void","Phase 2","None","Deverin Jacket","Fine Tool Harness","None","Green","Solid","White Drippy Charm"
1590,"The Nozzle","Little Huffy","Drifter","None","House of Ourbous","Good King Maude","None","The Void","Phase 2","Yes","Kreegal Cloak","Multiband Regulator","None","Red","Solid","Light Grey Suit Integrity Amulet"
1591,"The Nozzle","Bobpack","Drifter","None","Grid Gang","Puffy Face","None","The Void","Phase 2","None","Kreegal Cloak","None","None","Gray","Solid","Light Grey Suit Integrity Amulet"
1592,"The Nozzle","Little Huffy","Drifter","None","Roving Terror","The Pillowcase","None","The Void","Phase 2","Yes","Vayon Worksuit","Heavy Duty Regulator","None","Black","Solid","None"
1593,"Hull Breacher","Fancypack","Drifter","None","League of Channel","Boxhead","None","The Void","Phase 2","None","Smocker","None","None","Red","Cowl","Dark Grey Drippy Charm"
1594,"The Koltso","Caddypack","Drifter","None","High Tox","Backstab Squeezebox","None","The Void","Phase 2","Yes","Smocker","Encased Regulator","None","Gray","Chords","Light Grey Air Supply Amulet"
1595,"The Nozzle","Fancypack","Drifter","None","Longhaulers","Rustler's Braincage","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Sacred Passage","None"
1596,"Hull Breacher","Caddypack","Drifter","None","Freebooters Flag","Hangtooth","None","The Void","Phase 2","Yes","Deverin Jacket","Encased Regulator","None","Red","Arvis Edition","None"
1597,"Bolt Harp","The Sink","Drifter","None","The Bench","Boxhead","None","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","White","Arvis Edition","None"
1598,"The Nozzle","Bobpack","Drifter","None","Freebooters Flag","Trailmaker","None","The Void","Phase 2","None","Smocker","Multiband Regulator","None","Red","Cap Flag","Light Grey Suit Integrity Amulet"
1599,"Roulette","Bobpack","Drifter","None","Dark Ether House","The Scaper","None","The Void","Phase 2","None","Vayon Worksuit","Heavy Duty Regulator","None","Black","Solid","White Drippy Charm"
1600,"Faulk's Icepick","Fancypack","Drifter","None","Venonauts","The Pillowcase","None","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","White","Solid","None"
1601,"Hull Breacher","The Sink","Drifter","None","Roving Terror","Headforge","None","The Void","Phase 2","None","Smocker","Multiband Regulator","None","Red","Cap Flag","Red Sanity Amulet"
1602,"Trunker","Fancypack","Drifter","None","Freebooters Flag","Boxhead","None","The Void","Phase 2","None","Vayon Worksuit","Heavy Duty Regulator","None","Gray","Solid","None"
1603,"Wedge","Fancypack","Drifter","None","Cove Stalkers","Puffy Face","None","The Void","Phase 2","None","Smocker","Encased Regulator","None","Gray","Sacred Passage","Dark Grey Drippy Charm"
1604,"Roulette","The Sink","Drifter","None","House of Ourbous","The Stalker","None","The Void","Phase 2","None","Kreegal Cloak","Encased Regulator","None","Yellow","Solid","Light Grey Suit Integrity Amulet"
1605,"The Nozzle","Fancypack","Drifter","None","Orbital Miners Guild","Good King Maude","None","The Void","Phase 2","None","Vayon Worksuit","Multiband Regulator","None","Gray","Solid","White Air Supply Amulet"
1606,"The (Fat) Koltso","The Sink","Drifter","None","Topography Society","Hardhat","None","The Void","Phase 2","None","Smocker","Encased Regulator","None","Gray","Sacred Passage","Dark Grey Milo Charm"
1607,"Ball Claw","Fancypack","Drifter","None","Survivalist Guild","The Stalker","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Green","Cap Flag","None"
1608,"Hull Breacher","Caddypack","Drifter","None","The Path","Headforge","None","The Void","Phase 2","Yes","Kreegal Cloak","Encased Regulator","None","Yellow","Solid","None"
1609,"The Shriek","Caddypack","Drifter","None","Venonauts","Hardhat","None","The Void","Phase 2","None","Smocker","Encased Regulator","None","White","Sacred Passage","White Drippy Charm"
1610,"The Nozzle","Little Huffy","Drifter","None","Mesmegraph","Kipper","Eye Patch","The Void","Phase 2","Yes","Vayon Worksuit","Multiband Regulator","None","Black","Solid","None"
1611,"Hull Breacher","Little Huffy","Drifter","None","The Path","Rustler's Braincage","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Green","Sacred Passage","White Air Supply Amulet"
1612,"Trunker","Fancypack","Drifter","None","Engineers Guild","Headforge","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Blue","Cowl","Light Grey Suit Integrity Amulet"
1613,"Hole Puncher","Little Huffy","Drifter","None","The Path","Good King Maude","None","The Void","Phase 2","Yes","Deverin Jacket","Encased Regulator","None","Red","Solid","None"
1614,"Hole Puncher","None","Drifter","None","Venonauts","Kipper","None","The Void","Phase 2","None","Prongshell","None","None","Green","Solid","Medium Grey Air Supply Amulet"
1615,"The (Fat) Koltso","None","Drifter","None","Topography Society","Hangtooth","None","The Void","Phase 2","None","Smocker","None","None","Black","Chords","Dark Grey Milo Charm"
1616,"Thruster","Little Huffy","Drifter","None","The Bench","Hangtooth","None","The Void","Phase 2","Yes","Smocker","None","None","White","Cowl","None"
1617,"Bolt Harp","Caddypack","Drifter","None","The Path","Good King Maude","None","The Void","Phase 2","None","Kreegal Cloak","Multiband Regulator","None","Red","Solid","White Drippy Charm"
1618,"Steady Hammer","The Sink","Drifter","None","The Path","Hangtooth","None","The Void","Phase 2","None","Vayon Worksuit","Multiband Regulator","None","Black","Solid","Red Sanity Amulet"
1619,"Wedge","None","Drifter","None","High Tox","The Scaper","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Black","Solid","None"
1620,"Trunker","The Sink","Drifter","None","Dugall Freight","Rustler's Braincage","None","The Void","Phase 2","None","Vayon Worksuit","Heavy Duty Regulator","None","Black","Solid","None"
1621,"Hull Breacher","The Sink","Drifter","None","Engineers Guild","Rustler's Braincage","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Red","Cap Flag","None"
1622,"Hull Breacher","Fancypack","Drifter","None","The Borsch Conservatory of Gastrotechs","Puffy Face","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Black","Solid","None"
1623,"The Koltso","None","Drifter","None","The Path","The Stalker","None","The Void","Phase 2","None","Kreegal Cloak","None","None","Red","Solid","Light Grey Air Supply Amulet"
1624,"Thruster","Caddypack","Drifter","None","Engineers Guild","Rustler's Braincage","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Gray","Solid","None"
1625,"Trunker","Caddypack","Drifter","None","Mesmegraph","Rustler's Braincage","None","The Void","Phase 2","Yes","Vayon Worksuit","Heavy Duty Regulator","None","White","Ricochet","None"
1626,"Everdull Snippies","Fancypack","Drifter","None","Free Fringe","Soup Gagers","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Red","Cowl","None"
1627,"The Nozzle","Bobpack","Drifter","None","Cathedral","Good King Maude","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Green","Cap Flag","Light Grey Suit Integrity Amulet"
1628,"Steady Hammer","The Sink","Drifter","None","Engineers Guild","The Stalker","None","The Void","Phase 2","None","Deverin Jacket","Simple Regulator","None","Red","Solid","Light Grey Milo Charm"
1629,"The Shriek","Fancypack","Drifter","None","League of Channel","Rustler's Braincage","None","The Void","Phase 2","None","Smocker","Multiband Regulator","None","Green","Cap Flag","White Air Supply Amulet"
1630,"The Shriek","Little Huffy","Drifter","None","Mercenary","Boxhead","None","The Void","Phase 2","Yes","Deverin Jacket","Multiband Regulator","None","Yellow","Arvis Edition","White Air Supply Amulet"
1631,"Steady Hammer","The Sink","Drifter","None","Saddler Racing League","The Spyhopper","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Yellow","Cap Flag","None"
1632,"Thruster","The Sink","Drifter","None","Grid Gang","Puffy Face","None","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","Gray","Arvis Edition","None"
1633,"Steady Hammer","Fancypack","Drifter","None","Dugall Freight","Boxhead","None","The Void","Phase 2","None","Vayon Worksuit","Multiband Regulator","None","Black","Solid","Light Grey Suit Integrity Amulet"
1634,"The Koltso","Little Huffy","Drifter","None","Mark Stay","The Pillowcase","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Red-Yellow","Cap Flag","None"
1635,"Hull Breacher","Bobpack","Drifter","None","Machinist Social Club","Headforge","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Green","Sacred Passage","None"
1636,"The (Fat) Koltso","Fancypack","Drifter","None","Longhaulers","Rustler's Braincage","None","The Void","Phase 2","None","Deverin Jacket","Fine Tool Harness","None","Yellow","Solid","None"
1637,"Hole Puncher","None","Drifter","None","Cross of the Round Power","Kipper","Hypervisor","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","White","Foss","Medium Grey Air Supply Amulet"
1638,"Ball Claw","Little Huffy","Drifter","None","The Borsch Conservatory of Gastrotechs","The Scaper","None","The Void","Phase 2","Yes","Kreegal Cloak","Heavy Duty Regulator","None","Green","Solid","None"
1639,"Prongseat","None","Drifter","None","The Forsaken","BC Shiner","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Gray","Solid","None"
1640,"Ball Claw","Little Huffy","Drifter","None","Cathedral","Backstab Squeezebox","None","The Void","Phase 2","Yes","Smocker","Multiband Regulator","None","Green","Cap Flag","None"
1641,"Cove Carver","Fancypack","Drifter","None","Longhaulers","BC Shiner","Driftcore Shades","The Void","Phase 2","None","Smocker","Encased Regulator","None","Gray","Chords","White Air Supply Amulet"
1642,"Hole Puncher","Caddypack","Drifter","None","Survivalist Guild","The Scaper","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Gray","Chords","None"
1643,"The Shriek","Little Huffy","Drifter","None","Union of Merchants","Boxhead","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Yellow","Cap Flag","Medium Grey Air Supply Amulet"
1644,"Ball Claw","Fancypack","Drifter","None","High Tox","Puffy Face","None","The Void","Phase 2","None","Vayon Worksuit","Multiband Regulator","None","Black","Solid","Light Grey Suit Integrity Amulet"
1645,"Faulk's Icepick","Fancypack","Drifter","None","Dark Ether House","The Spyhopper","None","The Void","Phase 2","None","Vayon Worksuit","Heavy Duty Regulator","None","Gray","Solid","White Air Supply Amulet"
1646,"Trunker","Little Huffy","Drifter","None","Subsurface Miners Guild","Boxhead","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Yellow","Cap Flag","None"
1647,"Death Beam","None","Drifter","None","No Damage","The Scaper","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Gray","Solid","None"
1648,"Hull Breacher","None","Drifter","None","House of Ourbous","Boxhead","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","White","Foss","None"
1649,"Steady Hammer","Fancypack","Drifter","None","The Man Earlie Expeditionary Society","Boxhead","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Black","Solid","None"
1650,"Chainflicker","Little Huffy","Drifter","None","No Damage","The Scaper","None","The Void","Phase 2","Yes","Deverin Jacket","Simple Regulator","None","White","Solid","Yellow Air Supply Amulet"
1651,"Hull Breacher","The Sink","Drifter","None","The Forsaken","Headforge","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Yellow","Cap Flag","None"
1652,"Hull Breacher","None","Drifter","None","Dark Ether House","Good King Maude","None","The Void","Phase 2","None","Vayon Worksuit","None","None","Green","Foss","None"
1653,"The Shriek","None","Drifter","None","Dugall Freight","Rustler's Braincage","None","The Void","Phase 2","None","Smocker","None","None","White","Cap Flag","None"
1654,"Hull Breacher","Fancypack","Drifter","None","The Man Earlie Expeditionary Society","Boxhead","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Black","Solid","None"
1655,"The (Fat) Koltso","None","Drifter","None","House of Ourbous","Trailmaker","None","The Void","Phase 2","None","Prongshell","None","None","Green","Solid","None"
1656,"Chainflicker","None","Drifter","None","Free Fringe","The Spyhopper","None","The Void","Phase 2","None","Kreegal Cloak","None","None","Black","Solid","None"
1657,"Death Beam","The Sink","Drifter","None","Deepsatch","Puffy Face","None","The Void","Phase 2","None","Deverin Jacket","Multiband Regulator","None","Yellow","Arvis Edition","Light Grey Suit Integrity Amulet"
1658,"Hull Breacher","Caddypack","Drifter","None","Beshtala Expatriation Roster","Hangtooth","None","The Void","Phase 2","Yes","Smocker","Encased Regulator","None","Gray","Chords","None"
1659,"Thruster","Caddypack","Drifter","None","Slash Patcher","The Pillowcase","Driftcore Shades","The Void","Phase 2","Yes","Kreegal Cloak","Encased Regulator","None","Gray","Solid","None"
1660,"The (Fat) Koltso","The Sink","Drifter","None","Engineers Guild","Rustler's Braincage","None","The Void","Phase 2","None","Vayon Worksuit","Multiband Regulator","None","Black","Solid","Medium Grey Drippy Charm"
1661,"Round Foot","Fancypack","Drifter","None","Dugall Freight","Hangtooth","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Black","Solid","None"
1662,"The Nozzle","Little Huffy","Drifter","None","Engineers Guild","Good King Maude","None","The Void","Phase 2","Yes","Deverin Jacket","Multiband Regulator","None","Yellow","Arvis Edition","None"
1663,"Hull Breacher","Little Huffy","Drifter","None","The Man Earlie Expeditionary Society","Headforge","None","The Void","Phase 2","Yes","Kreegal Cloak","Heavy Duty Regulator","None","Gray","Scripture","White Air Supply Amulet"
1664,"Bolt Harp","None","Drifter","None","Cathedral","Good King Maude","None","The Void","Phase 2","None","Duggie","Utility Vest","None","Black","Strapt","None"
